,time (PST),fog,air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg),rain (mm),solar radiation (kwm2),fog tips
14883,2007-05-12 20:30:00,0.0,7.672,95.3,3.906,4.931,308.7,0.0,0.0,0.0
14884,2007-05-12 20:45:00,0.0,7.625,95.6,3.847,4.559,309.7,0.0,0.0,0.0
14885,2007-05-12 21:00:00,0.0,7.602,95.5,3.503,4.221,299.8,0.0,0.0,0.0
14886,2007-05-12 21:15:00,0.0,7.598,95.8,3.623,4.219,309.9,0.0,0.0,0.0
14887,2007-05-12 21:30:00,0.0,7.691,95.6,4.123,5.62,298.4,0.0,0.0,0.0
14888,2007-05-12 21:45:00,0.0,7.674,95.8,3.601,4.288,310.8,0.0,0.0,0.0
14889,2007-05-12 22:00:00,0.0,7.589,96.2,3.474,4.127,301.6,0.0,0.0,0.0
14890,2007-05-12 22:15:00,0.0,7.593,96.4,3.365,4.16,315.4,0.0,0.0,0.0
14891,2007-05-12 22:30:00,0.0,7.639,96.7,3.345,4.345,303.3,0.0,0.0,0.0
14892,2007-05-12 22:45:00,0.0,7.685,96.9,3.373,3.882,309.4,0.0,0.0,0.0
14893,2007-05-12 23:00:00,0.0,7.676,97.1,3.191,3.829,316.5,0.0,0.0,0.0
14894,2007-05-12 23:15:00,0.0,7.591,97.2,2.891,3.548,314.9,0.0,0.0,0.0
14895,2007-05-12 23:30:00,0.0,7.574,97.3,2.97,3.463,306.2,0.0,0.0,0.0
14896,2007-05-12 23:45:00,0.0,7.63,97.5,2.683,3.347,319.8,0.0,0.0,0.0
14897,2007-05-13 00:00:00,0.0,7.654,97.6,2.605,3.296,317.2,0.0,0.0,0.0
14898,2007-05-13 00:15:00,0.0,7.671,97.7,2.473,3.133,336.9,0.0,0.0,0.0
14899,2007-05-13 00:30:00,0.0,7.608,97.7,2.618,3.453,331.3,0.0,0.0,0.0
14900,2007-05-13 00:45:00,0.0,7.49,97.8,2.84,3.567,317.0,0.0,0.0,0.0
14901,2007-05-13 01:00:00,0.0,7.461,97.9,2.539,3.226,321.5,0.0,0.0,0.0
14902,2007-05-13 01:15:00,3.7253,7.489,97.9,2.614,3.177,308.4,0.0,0.0,1.0
14903,2007-05-13 01:30:00,0.0,7.497,98.0,2.514,3.005,314.2,0.0,0.0,0.0
14904,2007-05-13 01:45:00,3.7253,7.571,98.1,2.677,3.129,315.7,0.0,0.0,1.0
14905,2007-05-13 02:00:00,3.7253,7.645,98.1,2.541,3.172,313.0,0.0,0.0,1.0
14906,2007-05-13 02:15:00,3.7253,7.681,98.2,2.723,3.806,311.4,0.0,0.0,1.0
14907,2007-05-13 02:30:00,0.0,7.634,98.2,2.202,2.793,320.6,0.0,0.0,0.0
14908,2007-05-13 02:45:00,3.7253,7.666,98.2,2.016,2.277,319.4,0.0,0.0,1.0
14909,2007-05-13 03:00:00,3.7253,7.733,98.3,2.192,2.754,307.6,0.0,0.0,1.0
14910,2007-05-13 03:15:00,3.7253,7.73,98.3,2.139,2.76,292.1,0.0,0.0,1.0
14911,2007-05-13 03:30:00,3.7253,7.656,98.3,2.004,2.524,285.3,0.0,0.0,1.0
14912,2007-05-13 03:45:00,3.7253,7.607,98.3,2.126,2.692,294.4,0.0,0.0,1.0
14913,2007-05-13 04:00:00,0.0,7.521,98.3,2.119,2.504,295.3,0.0,0.0,0.0
14914,2007-05-13 04:15:00,3.7253,7.453,98.4,1.946,2.62,286.7,0.0,0.0,1.0
14915,2007-05-13 04:30:00,0.0,7.428,98.4,1.967,2.615,292.3,0.0,0.0,0.0
14916,2007-05-13 04:45:00,0.0,7.433,98.4,2.14,2.638,292.4,0.0,0.0,0.0
14917,2007-05-13 05:00:00,3.7253,7.463,98.4,2.038,2.71,288.2,0.0,0.001,1.0
14918,2007-05-13 05:15:00,0.0,7.503,98.4,2.097,2.463,287.5,0.0,0.006,0.0
14919,2007-05-13 05:30:00,3.7253,7.507,98.5,2.029,2.682,278.2,0.0,0.018,1.0
14920,2007-05-13 05:45:00,0.0,7.487,98.5,2.39,3.009,290.7,0.0,0.032,0.0
14921,2007-05-13 06:00:00,0.0,7.57,98.5,2.031,2.546,292.9,0.0,0.049,0.0
14922,2007-05-13 06:15:00,3.7253,7.564,98.5,2.145,2.78,283.0,0.0,0.072,1.0
14923,2007-05-13 06:30:00,0.0,7.591,98.5,2.127,2.938,284.7,0.0,0.102,0.0
14924,2007-05-13 06:45:00,0.0,7.706,98.5,1.843,2.561,276.2,0.0,0.137,0.0
14925,2007-05-13 07:00:00,0.0,7.902,98.5,1.63,1.967,281.8,0.0,0.165,0.0
14926,2007-05-13 07:15:00,0.0,8.03,98.5,1.55,1.939,291.6,0.0,0.191,0.0
14927,2007-05-13 07:30:00,0.0,8.22,98.5,1.728,2.048,285.5,0.0,0.232,0.0
14928,2007-05-13 07:45:00,0.0,8.38,98.5,1.553,1.98,298.1,0.0,0.268,0.0
14929,2007-05-13 08:00:00,0.0,8.53,98.5,1.571,1.929,297.0,0.0,0.281,0.0
14930,2007-05-13 08:15:00,0.0,8.74,98.5,1.572,2.1,289.2,0.0,0.37,0.0
14931,2007-05-13 08:30:00,0.0,9.18,98.4,1.33,1.674,296.8,0.0,0.561,0.0
14932,2007-05-13 08:45:00,0.0,9.7,98.2,1.307,1.792,296.9,0.0,0.656,0.0
14933,2007-05-13 09:00:00,0.0,10.2,97.8,1.461,1.808,279.9,0.0,0.705,0.0
14934,2007-05-13 09:15:00,0.0,10.55,95.1,1.526,1.896,295.8,0.0,0.745,0.0
14935,2007-05-13 09:30:00,0.0,11.29,89.3,1.389,1.736,288.7,0.0,0.782,0.0
14936,2007-05-13 09:45:00,0.0,11.92,82.7,1.737,2.429,288.6,0.0,0.818,0.0
14937,2007-05-13 10:00:00,0.0,12.13,80.2,1.969,2.429,283.2,0.0,0.849,0.0
14938,2007-05-13 10:15:00,0.0,12.22,79.11,1.71,2.194,270.8,0.0,0.879,0.0
14939,2007-05-13 10:30:00,0.0,12.79,76.01,1.804,2.133,297.5,0.0,0.908,0.0
14940,2007-05-13 10:45:00,0.0,13.22,73.77,2.142,2.537,284.0,0.0,0.929,0.0
14941,2007-05-13 11:00:00,0.0,13.16,74.51,2.324,2.888,289.5,0.0,0.944,0.0
14942,2007-05-13 11:15:00,0.0,13.13,74.6,2.365,2.947,289.0,0.0,0.959,0.0
14943,2007-05-13 11:30:00,0.0,12.95,75.68,2.464,3.224,291.8,0.0,0.967,0.0
14944,2007-05-13 11:45:00,0.0,13.22,74.99,2.529,3.18,285.3,0.0,0.972,0.0
14945,2007-05-13 12:00:00,0.0,13.44,73.85,2.568,3.275,302.3,0.0,0.975,0.0
14946,2007-05-13 12:15:00,0.0,13.09,74.56,2.803,3.343,293.7,0.0,0.974,0.0
14947,2007-05-13 12:30:00,0.0,13.02,74.91,3.112,3.654,296.7,0.0,0.971,0.0
14948,2007-05-13 12:45:00,0.0,13.1,74.64,3.005,3.564,294.4,0.0,0.962,0.0
14949,2007-05-13 13:00:00,0.0,13.0,75.57,2.925,3.469,293.4,0.0,0.953,0.0
14950,2007-05-13 13:15:00,0.0,13.22,74.2,2.841,3.487,284.9,0.0,0.941,0.0
14951,2007-05-13 13:30:00,0.0,13.25,73.85,2.883,3.316,301.1,0.0,0.921,0.0
14952,2007-05-13 13:45:00,0.0,13.38,74.14,2.739,3.451,309.7,0.0,0.896,0.0
14953,2007-05-13 14:00:00,0.0,13.48,73.23,2.505,3.141,302.7,0.0,0.87,0.0
14954,2007-05-13 14:15:00,0.0,13.24,74.01,2.666,3.201,302.4,0.0,0.843,0.0
14955,2007-05-13 14:30:00,0.0,12.67,76.36,2.915,3.392,291.7,0.0,0.822,0.0
14956,2007-05-13 14:45:00,0.0,12.08,79.07,2.949,3.515,300.0,0.0,0.775,0.0
14957,2007-05-13 15:00:00,0.0,11.7,80.8,2.903,3.28,294.9,0.0,0.578,0.0
14958,2007-05-13 15:15:00,0.0,10.81,84.3,3.237,3.699,290.7,0.0,0.556,0.0
14959,2007-05-13 15:30:00,0.0,10.09,88.0,3.56,4.57,303.8,0.0,0.415,0.0
14960,2007-05-13 15:45:00,0.0,9.82,89.3,3.394,4.137,301.6,0.0,0.334,0.0
14961,2007-05-13 16:00:00,0.0,9.16,91.9,3.46,4.17,299.9,0.0,0.254,0.0
14962,2007-05-13 16:15:00,0.0,8.77,93.9,3.27,4.376,287.4,0.0,0.171,0.0
14963,2007-05-13 16:30:00,0.0,8.51,95.2,3.669,4.469,294.8,0.0,0.146,0.0
14964,2007-05-13 16:45:00,0.0,8.33,96.2,3.679,4.433,303.0,0.0,0.136,0.0
14965,2007-05-13 17:00:00,0.0,8.31,96.7,3.436,4.288,301.6,0.0,0.119,0.0
14966,2007-05-13 17:15:00,0.0,8.21,97.0,3.405,3.998,312.6,0.0,0.092,0.0
14967,2007-05-13 17:30:00,0.0,8.11,97.3,3.535,4.167,307.4,0.0,0.063,0.0
14968,2007-05-13 17:45:00,0.0,8.1,97.5,3.465,4.278,296.2,0.0,0.053,0.0
14969,2007-05-13 18:00:00,0.0,8.07,97.7,3.733,4.742,303.8,0.0,0.039,0.0
14970,2007-05-13 18:15:00,3.7253,8.09,97.8,3.625,4.227,307.7,0.0,0.029,1.0
14971,2007-05-13 18:30:00,3.7253,8.12,98.0,3.434,4.503,299.4,0.0,0.018,1.0
14972,2007-05-13 18:45:00,3.7253,8.1,98.1,3.258,3.814,299.3,0.0,0.009,1.0
14973,2007-05-13 19:00:00,3.7253,8.1,98.2,3.185,4.24,301.2,0.0,0.002,1.0
14974,2007-05-13 19:15:00,3.7253,8.07,98.2,3.216,4.041,303.6,0.0,0.0,1.0
14975,2007-05-13 19:30:00,7.4506,8.05,98.3,2.948,3.566,293.3,0.0,0.0,2.0
14976,2007-05-13 19:45:00,3.7253,8.01,98.4,3.135,3.698,304.8,0.0,0.0,1.0
14977,2007-05-13 20:00:00,3.7253,7.976,98.4,3.021,3.598,302.9,0.0,0.0,1.0
14978,2007-05-13 20:15:00,3.7253,7.922,98.5,3.221,4.139,299.6,0.0,0.0,1.0
14979,2007-05-13 20:30:00,3.7253,7.852,98.5,3.393,4.167,314.7,0.0,0.0,1.0
14980,2007-05-13 20:45:00,3.7253,7.843,98.5,3.306,3.98,306.2,0.0,0.0,1.0
14981,2007-05-13 21:00:00,3.7253,7.832,98.6,2.979,3.851,305.7,0.0,0.0,1.0
14982,2007-05-13 21:15:00,3.7253,7.848,98.6,2.649,3.223,313.6,0.0,0.0,1.0
14983,2007-05-13 21:30:00,3.7253,7.832,98.6,2.479,2.844,321.8,0.0,0.0,1.0
14984,2007-05-13 21:45:00,3.7253,7.812,98.6,2.637,3.306,299.8,0.0,0.0,1.0
14985,2007-05-13 22:00:00,7.4506,7.846,98.6,1.987,2.365,314.5,0.0,0.0,2.0
14986,2007-05-13 22:15:00,3.7253,7.767,98.7,1.771,2.149,310.2,0.0,0.0,1.0
14987,2007-05-13 22:30:00,3.7253,7.663,98.7,1.587,1.821,321.6,0.0,0.0,1.0
14988,2007-05-13 22:45:00,3.7253,7.53,98.7,0.837,1.56,331.8,0.0,0.0,1.0
14989,2007-05-13 23:00:00,0.0,7.456,98.7,0.577,1.148,298.0,0.0,0.0,0.0
14990,2007-05-13 23:15:00,3.7253,7.506,98.7,0.809,1.155,211.2,0.0,0.0,1.0
14991,2007-05-13 23:30:00,0.0,7.496,98.7,1.127,1.659,288.8,0.0,0.0,0.0
14992,2007-05-13 23:45:00,0.0,7.491,98.7,0.678,1.271,234.2,0.0,0.0,0.0
14993,2007-05-14 00:00:00,0.0,7.695,98.8,1.105,1.294,209.7,0.0,0.0,0.0
14994,2007-05-14 00:15:00,0.0,7.713,98.8,1.148,1.457,200.2,0.0,0.0,0.0
14995,2007-05-14 00:30:00,0.0,8.13,98.7,1.096,1.343,200.7,0.0,0.0,0.0
14996,2007-05-14 00:45:00,0.0,8.25,98.6,1.0,1.245,203.8,0.0,0.0,0.0
14997,2007-05-14 01:00:00,0.0,8.57,98.5,0.426,0.745,127.5,0.0,0.0,0.0
14998,2007-05-14 01:15:00,0.0,10.15,98.1,0.158,0.407,108.9,0.0,0.0,0.0
14999,2007-05-14 01:30:00,0.0,9.69,97.2,0.29,0.797,84.9,0.0,0.0,0.0
15000,2007-05-14 01:45:00,0.0,9.52,97.0,0.095,0.443,139.6,0.0,0.0,0.0
15001,2007-05-14 02:00:00,0.0,10.4,95.6,0.095,0.462,23.09,0.0,0.0,0.0
15002,2007-05-14 02:15:00,0.0,10.39,93.9,0.117,0.644,24.03,0.0,0.0,0.0
15003,2007-05-14 02:30:00,0.0,10.81,92.2,0.235,0.823,216.0,0.0,0.0,0.0
15004,2007-05-14 02:45:00,0.0,10.37,91.3,1.245,1.867,153.3,0.0,0.0,0.0
15005,2007-05-14 03:00:00,0.0,10.54,90.1,1.163,2.378,133.1,0.0,0.0,0.0
15006,2007-05-14 03:15:00,0.0,10.89,86.9,1.432,2.038,145.8,0.0,0.0,0.0
15007,2007-05-14 03:30:00,0.0,10.9,85.7,1.572,2.251,141.6,0.0,0.0,0.0
15008,2007-05-14 03:45:00,3.7253,11.4,82.0,1.278,1.646,140.9,0.0,0.0,1.0
15009,2007-05-14 04:00:00,0.0,11.89,77.69,0.574,1.411,126.2,0.0,0.0,0.0
15010,2007-05-14 04:15:00,0.0,11.85,77.1,0.282,0.779,107.6,0.0,0.0,0.0
15011,2007-05-14 04:30:00,0.0,10.83,81.8,0.269,0.546,129.7,0.0,0.0,0.0
15012,2007-05-14 04:45:00,0.0,10.99,80.6,0.147,0.611,107.8,0.0,0.0,0.0
15013,2007-05-14 05:00:00,0.0,11.12,80.1,0.35,0.781,117.0,0.0,0.002,0.0
15014,2007-05-14 05:15:00,0.0,11.22,79.33,0.714,1.116,108.4,0.0,0.012,0.0
15015,2007-05-14 05:30:00,0.0,11.01,80.0,0.551,0.867,96.1,0.0,0.033,0.0
15016,2007-05-14 05:45:00,0.0,11.2,79.93,0.216,0.544,49.96,0.0,0.057,0.0
15017,2007-05-14 06:00:00,0.0,11.43,78.01,0.492,1.168,137.1,0.0,0.074,0.0
15018,2007-05-14 06:15:00,0.0,11.57,76.64,0.999,1.349,144.7,0.0,0.135,0.0
15019,2007-05-14 06:30:00,0.0,11.65,77.27,1.014,1.308,146.4,0.0,0.133,0.0
15020,2007-05-14 06:45:00,0.0,11.88,77.66,0.414,1.073,124.9,0.0,0.113,0.0
15021,2007-05-14 07:00:00,0.0,12.33,76.84,0.224,0.524,257.2,0.0,0.125,0.0
15022,2007-05-14 07:15:00,0.0,12.22,76.87,0.362,0.82,275.9,0.0,0.222,0.0
15023,2007-05-14 07:30:00,0.0,12.56,77.72,0.516,0.737,273.2,0.0,0.383,0.0
15024,2007-05-14 07:45:00,0.0,12.64,77.91,0.557,0.951,281.2,0.0,0.467,0.0
15025,2007-05-14 08:00:00,0.0,12.65,80.4,0.704,1.029,286.9,0.0,0.527,0.0
15026,2007-05-14 08:15:00,0.0,12.96,80.9,0.898,1.614,289.9,0.0,0.576,0.0
15027,2007-05-14 08:30:00,0.0,13.28,80.6,1.055,1.202,280.3,0.0,0.628,0.0
15028,2007-05-14 08:45:00,0.0,13.5,81.3,1.072,1.481,258.2,0.0,0.625,0.0
15029,2007-05-14 09:00:00,0.0,13.55,81.6,1.243,1.642,244.3,0.0,0.694,0.0
15030,2007-05-14 09:15:00,0.0,13.75,81.2,1.244,1.601,264.3,0.0,0.741,0.0
15031,2007-05-14 09:30:00,0.0,14.43,78.94,1.099,1.97,272.0,0.0,0.801,0.0
15032,2007-05-14 09:45:00,0.0,15.09,76.16,1.393,1.857,283.5,0.0,0.824,0.0
15033,2007-05-14 10:00:00,0.0,14.84,77.15,1.428,2.012,282.8,0.0,0.841,0.0
15034,2007-05-14 10:15:00,0.0,15.5,74.91,1.399,1.926,268.2,0.0,0.889,0.0
15035,2007-05-14 10:30:00,0.0,15.94,72.98,1.718,2.519,294.2,0.0,0.91,0.0
15036,2007-05-14 10:45:00,0.0,15.57,73.71,2.069,2.537,270.9,0.0,0.93,0.0
15037,2007-05-14 11:00:00,0.0,15.3,74.6,1.977,2.319,290.6,0.0,0.946,0.0
15038,2007-05-14 11:15:00,0.0,15.75,72.72,1.711,2.314,294.1,0.0,0.965,0.0
15039,2007-05-14 11:30:00,0.0,15.94,71.25,1.795,2.308,289.7,0.0,0.972,0.0
15040,2007-05-14 11:45:00,0.0,15.67,71.27,1.955,2.44,285.9,0.0,0.984,0.0
15041,2007-05-14 12:00:00,0.0,14.82,74.35,2.253,2.736,272.6,0.0,0.984,0.0
15042,2007-05-14 12:15:00,0.0,15.06,73.0,2.118,2.844,291.4,0.0,0.985,0.0
15043,2007-05-14 12:30:00,0.0,14.97,72.64,2.034,2.543,277.5,0.0,0.982,0.0
15044,2007-05-14 12:45:00,0.0,15.51,70.03,1.648,2.385,282.0,0.0,0.975,0.0
15045,2007-05-14 13:00:00,0.0,15.29,70.39,1.826,2.298,279.9,0.0,0.963,0.0
15046,2007-05-14 13:15:00,0.0,14.69,72.62,2.3,3.005,281.8,0.0,0.947,0.0
15047,2007-05-14 13:30:00,0.0,14.28,73.79,2.248,3.107,282.3,0.0,0.928,0.0
15048,2007-05-14 13:45:00,0.0,14.83,71.54,2.036,2.664,286.0,0.0,0.908,0.0
15049,2007-05-14 14:00:00,0.0,15.1,70.77,2.24,2.925,294.9,0.0,0.884,0.0
15050,2007-05-14 14:15:00,0.0,14.4,73.24,2.184,2.439,284.0,0.0,0.854,0.0
15051,2007-05-14 14:30:00,0.0,14.38,73.35,2.076,2.573,300.5,0.0,0.823,0.0
15052,2007-05-14 14:45:00,0.0,14.26,73.21,2.16,2.7,304.2,0.0,0.787,0.0
15053,2007-05-14 15:00:00,0.0,14.11,73.79,2.357,2.847,286.8,0.0,0.745,0.0
15054,2007-05-14 15:15:00,0.0,13.88,74.71,2.42,2.842,278.3,0.0,0.701,0.0
15055,2007-05-14 15:30:00,0.0,13.84,74.56,2.236,2.669,295.5,0.0,0.658,0.0
15056,2007-05-14 15:45:00,0.0,13.87,73.73,2.279,2.837,316.0,0.0,0.608,0.0
15057,2007-05-14 16:00:00,0.0,12.15,80.8,2.765,3.587,305.9,0.0,0.525,0.0
15058,2007-05-14 16:15:00,0.0,11.74,83.1,2.727,3.095,303.0,0.0,0.474,0.0
15059,2007-05-14 16:30:00,0.0,10.89,86.3,2.619,3.316,300.9,0.0,0.319,0.0
15060,2007-05-14 16:45:00,0.0,9.91,90.6,2.629,2.94,302.9,0.0,0.205,0.0
15061,2007-05-14 17:00:00,0.0,9.49,92.5,2.513,2.813,295.5,0.0,0.192,0.0
15062,2007-05-14 17:15:00,0.0,9.01,94.0,2.545,3.015,300.7,0.0,0.128,0.0
15063,2007-05-14 17:30:00,0.0,8.63,95.7,2.586,2.96,295.5,0.0,0.097,0.0
15064,2007-05-14 17:45:00,0.0,8.43,96.5,2.691,3.054,300.1,0.0,0.067,0.0
15065,2007-05-14 18:00:00,0.0,8.27,97.0,2.773,3.535,309.3,0.0,0.048,0.0
15066,2007-05-14 18:15:00,0.0,8.14,97.4,2.977,3.303,295.1,0.0,0.028,0.0
15067,2007-05-14 18:30:00,0.0,8.11,97.6,2.622,3.306,318.2,0.0,0.015,0.0
15068,2007-05-14 18:45:00,0.0,8.01,97.8,2.815,3.601,307.6,0.0,0.007,0.0
15069,2007-05-14 19:00:00,0.0,7.934,97.9,2.493,2.999,295.6,0.0,0.002,0.0
15070,2007-05-14 19:15:00,7.4506,7.89,98.0,2.934,3.654,311.8,0.0,0.0,2.0
15071,2007-05-14 19:30:00,7.4506,7.913,98.1,2.737,3.321,301.9,0.0,0.0,2.0
15072,2007-05-14 19:45:00,7.4506,7.906,98.2,2.636,3.209,313.3,0.0,0.0,2.0
15073,2007-05-14 20:00:00,7.4506,7.938,98.3,2.789,3.42,315.5,0.0,0.0,2.0
15074,2007-05-14 20:15:00,11.176,8.0,98.4,2.587,3.301,314.0,0.0,0.0,3.0000268434756934
15075,2007-05-14 20:30:00,7.4506,7.983,98.4,2.867,3.455,300.6,0.0,0.0,2.0
15076,2007-05-14 20:45:00,7.4506,7.974,98.5,2.389,2.767,304.7,0.0,0.0,2.0
15077,2007-05-14 21:00:00,7.4506,7.954,98.5,2.185,2.832,311.2,0.0,0.0,2.0
15078,2007-05-14 21:15:00,7.4506,7.963,98.6,2.092,2.682,311.2,0.0,0.0,2.0
15079,2007-05-14 21:30:00,7.4506,7.904,98.6,2.279,2.916,286.0,0.0,0.0,2.0
15080,2007-05-14 21:45:00,7.4506,7.787,98.6,2.04,2.816,296.9,0.0,0.0,2.0
15081,2007-05-14 22:00:00,7.4506,7.814,98.6,1.955,2.602,302.7,0.0,0.0,2.0
15082,2007-05-14 22:15:00,7.4506,7.812,98.7,2.093,2.649,282.1,0.0,0.0,2.0
15083,2007-05-14 22:30:00,7.4506,7.83,98.7,1.756,2.36,291.3,0.0,0.0,2.0
15084,2007-05-14 22:45:00,7.4506,7.857,98.7,1.927,2.573,283.9,0.0,0.0,2.0
15085,2007-05-14 23:00:00,7.4506,7.753,98.8,1.57,2.367,294.9,0.0,0.0,2.0
15086,2007-05-14 23:15:00,7.4506,7.764,98.8,1.732,2.973,293.1,0.0,0.0,2.0
15087,2007-05-14 23:30:00,3.7253,7.764,98.8,1.442,1.926,300.4,0.0,0.0,1.0
15088,2007-05-14 23:45:00,7.4506,7.805,98.8,1.336,1.914,290.5,0.0,0.0,2.0
15089,2007-05-15 00:00:00,3.7253,7.843,98.8,1.392,1.787,291.5,0.0,0.0,1.0
15090,2007-05-15 00:15:00,3.7253,7.87,98.8,1.136,1.597,296.8,0.0,0.0,1.0
15091,2007-05-15 00:30:00,7.4506,7.884,98.8,1.387,1.798,290.0,0.0,0.0,2.0
15092,2007-05-15 00:45:00,3.7253,7.954,98.8,1.025,1.48,306.5,0.0,0.0,1.0
15093,2007-05-15 01:00:00,3.7253,7.949,98.8,1.431,2.002,292.7,0.0,0.0,1.0
15094,2007-05-15 01:15:00,7.4506,7.809,98.9,1.479,1.774,289.2,0.0,0.0,2.0
15095,2007-05-15 01:30:00,7.4506,7.827,98.9,1.388,1.908,301.5,0.0,0.0,2.0
15096,2007-05-15 01:45:00,3.7253,7.845,98.9,1.216,1.818,294.5,0.0,0.0,1.0
15097,2007-05-15 02:00:00,3.7253,7.862,98.9,1.264,1.604,282.7,0.0,0.0,1.0
15098,2007-05-15 02:15:00,7.4506,7.92,98.9,1.104,1.725,294.1,0.0,0.0,2.0
15099,2007-05-15 02:30:00,3.7253,7.922,98.9,1.074,1.354,287.5,0.0,0.0,1.0
15100,2007-05-15 02:45:00,3.7253,7.958,99.0,1.051,1.308,281.6,0.0,0.0,1.0
15101,2007-05-15 03:00:00,3.7253,7.956,99.0,0.931,1.524,276.6,0.0,0.0,1.0
15102,2007-05-15 03:15:00,3.7253,7.974,99.0,0.92,1.431,270.9,0.0,0.0,1.0
15103,2007-05-15 03:30:00,7.4506,7.94,99.0,1.169,1.642,277.6,0.0,0.0,2.0
15104,2007-05-15 03:45:00,3.7253,7.942,99.0,1.053,1.37,275.8,0.0,0.0,1.0
15105,2007-05-15 04:00:00,7.4506,7.931,99.1,1.078,1.493,283.9,0.0,0.0,2.0
15106,2007-05-15 04:15:00,7.4506,7.936,99.1,1.099,1.447,279.8,0.0,0.0,2.0
15107,2007-05-15 04:30:00,7.4506,7.938,99.1,1.223,1.707,286.3,0.0,0.0,2.0
15108,2007-05-15 04:45:00,7.4506,7.888,99.1,0.991,1.421,300.6,0.0,0.0,2.0
15109,2007-05-15 05:00:00,7.4506,7.895,99.1,0.849,1.266,301.8,0.1004,0.0,2.0
15110,2007-05-15 05:15:00,3.7253,7.911,99.1,0.703,1.134,307.5,0.0,0.002,1.0
15111,2007-05-15 05:30:00,3.7253,7.945,99.1,0.575,0.882,308.6,0.0,0.007,1.0
15112,2007-05-15 05:45:00,3.7253,7.978,99.1,0.561,0.797,300.9,0.0,0.012,1.0
15113,2007-05-15 06:00:00,3.7253,8.08,99.1,0.284,0.642,291.7,0.1004,0.017,1.0
15114,2007-05-15 06:15:00,3.7253,8.15,99.1,0.171,0.786,298.1,0.0,0.027,1.0
15115,2007-05-15 06:30:00,0.0,8.25,99.2,0.326,0.779,283.2,0.0,0.035,0.0
15116,2007-05-15 06:45:00,0.0,8.41,99.2,0.019,0.15,322.8,0.0,0.044,0.0
15117,2007-05-15 07:00:00,3.7253,8.48,99.2,0.247,0.5,308.4,0.0,0.057,1.0
15118,2007-05-15 07:15:00,0.0,8.53,99.2,0.145,0.441,290.8,0.1004,0.068,0.0
15119,2007-05-15 07:30:00,0.0,8.7,99.2,0.091,0.399,303.7,0.0,0.077,0.0
15120,2007-05-15 07:45:00,0.0,8.76,99.2,0.264,0.443,281.3,0.0,0.084,0.0
15121,2007-05-15 08:00:00,3.7253,8.8,99.2,0.22,0.572,317.3,0.0,0.093,1.0
15122,2007-05-15 08:15:00,0.0,8.88,99.2,0.429,0.825,291.6,0.0,0.1,0.0
15123,2007-05-15 08:30:00,0.0,8.95,99.2,0.587,1.0,282.4,0.0,0.115,0.0
15124,2007-05-15 08:45:00,0.0,9.05,99.2,0.729,1.037,291.4,0.0,0.137,0.0
15125,2007-05-15 09:00:00,3.7253,9.14,99.2,0.442,0.815,312.7,0.0,0.149,1.0
15126,2007-05-15 09:15:00,0.0,9.43,99.2,0.592,0.835,324.8,0.0,0.173,0.0
15127,2007-05-15 09:30:00,0.0,9.58,99.2,0.675,1.021,329.0,0.0,0.216,0.0
15128,2007-05-15 09:45:00,0.0,9.83,99.2,0.699,0.978,275.3,0.0,0.196,0.0
15129,2007-05-15 10:00:00,0.0,9.67,99.2,0.72,1.094,279.0,0.0,0.232,0.0
15130,2007-05-15 10:15:00,0.0,9.9,99.2,0.836,1.12,284.3,0.0,0.228,0.0
15131,2007-05-15 10:30:00,0.0,10.07,99.2,1.071,1.607,283.1,0.0,0.216,0.0
15132,2007-05-15 10:45:00,0.0,9.9,99.3,1.188,1.454,291.4,0.0,0.241,0.0
15133,2007-05-15 11:00:00,0.0,9.96,99.2,1.464,1.806,299.3,0.0,0.334,0.0
15134,2007-05-15 11:15:00,0.0,9.96,99.2,1.533,2.143,295.4,0.0,0.339,0.0
15135,2007-05-15 11:30:00,0.0,10.02,99.2,1.465,1.802,297.5,0.0,0.303,0.0
15136,2007-05-15 11:45:00,0.0,10.02,99.3,1.433,1.939,295.7,0.0,0.314,0.0
15137,2007-05-15 12:00:00,0.0,10.04,99.2,1.407,1.939,291.8,0.0,0.294,0.0
15138,2007-05-15 12:15:00,0.0,9.9,99.2,1.583,1.826,303.0,0.0,0.311,0.0
15139,2007-05-15 12:30:00,0.0,9.88,99.2,1.69,2.035,295.8,0.0,0.31,0.0
15140,2007-05-15 12:45:00,0.0,9.76,99.2,1.674,2.025,309.5,0.0,0.274,0.0
15141,2007-05-15 13:00:00,0.0,9.73,99.2,1.759,2.156,287.1,0.0,0.31,0.0
15142,2007-05-15 13:15:00,0.0,9.99,99.2,1.59,2.022,291.1,0.0,0.342,0.0
15143,2007-05-15 13:30:00,0.0,10.16,99.1,1.636,1.823,294.6,0.0,0.341,0.0
15144,2007-05-15 13:45:00,0.0,10.72,99.1,1.903,2.293,303.6,0.0,0.457,0.0
15145,2007-05-15 14:00:00,0.0,11.15,99.0,2.159,2.492,292.4,0.0,0.501,0.0
15146,2007-05-15 14:15:00,0.0,10.82,98.3,2.351,3.11,288.9,0.0,0.355,0.0
15147,2007-05-15 14:30:00,0.0,10.65,95.5,2.469,3.245,282.6,0.0,0.423,0.0
15148,2007-05-15 14:45:00,0.0,11.28,91.5,2.393,2.901,316.4,0.0,0.364,0.0
